ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks,Latex
-215,1318.2,0.6,0.6,107.0,5.0,5.0,1,-1,1,5,2,-1,0,0,a(2)(1320),Ud,a_{2}(1320)^{-}
217,1688.8,2.1,2.1,161.0,10.0,10.0,1,1,-1,5,2,1,0,0,rho(3)(1690),uD,\rho_{3}(1690)^{+}
-217,1688.8,2.1,2.1,161.0,10.0,10.0,1,1,-1,5,2,-1,0,0,rho(3)(1690),Ud,\rho_{3}(1690)^{-}
219,1967.0,16.0,16.0,324.0,15.0,18.0,1,-1,1,5,2,1,0,0,a(4)(1970),uD,a_{4}(1970)^{+}
-219,1967.0,16.0,16.0,324.0,15.0,18.0,1,-1,1,5,2,-1,0,0,a(4)(1970),Ud,a_{4}(1970)^{-}
221,547.862,0.017,0.017,0.00131,5e-05,5e-05,0,1,-1,1,0,0,0,0,eta,x(uU+dD)+y(sS),\eta
223,782.66,0.13,0.13,8.68,0.13,0.13,0,-1,-1,-1,0,0,0,0,omega(782),x(uU+dD)+y(sS),\omega(782)
225,1275.5,0.8,0.8,186.7,2.2,2.5,0,1,1,1,0,0,0,0,f(2)(1270),x(uU+dD)+y(sS),f_{2}(1270)
227,1667.0,4.0,4.0,168.0,10.0,10.0,0,-1,-1,-1,0,0,0,0,omega(3)(1670),x(uU+dD)+y(sS),\omega_{3}(1670)
229,2018.0,11.0,11.0,237.0,18.0,18.0,0,1,1,1,0,0,0,0,f(4)(2050),x(uU+dD)+y(sS),f_{4}(2050)
310,497.611,0.013,0.013,7.3508e-12,2.9e-15,2.9e-15,1/2,5,-1,5,0,0,0,0,K(S),p(dS)+q(Ds),K_{S}^{0}
311,497.611,0.013,0.013,-1.0,-1.0,-1.0,1/2,5,-1,5,1,0,0,0,K,dS,K^{0}
-311,497.611,0.013,0.013,-1.0,-1.0,-1.0,1/2,5,-1,5,1,0,0,0,K,Ds,\overline{K}^{0}
313,895.55,0.2,0.2,47.3,0.5,0.5,1/2,5,-1,5,1,0,0,0,K*(892),dS,K^{*}(892)^{0}
-313,895.55,0.2,0.2,47.3,0.5,0.5,1/2,5,-1,5,1,0,0,0,K*(892),Ds,\overline{K}^{*}(892)^{0}
315,1432.4,1.3,1.3,109.0,5.0,5.0,1/2,5,1,5,1,0,0,0,K(2)*(1430),dS,K_{2}^{*}(1430)^{0}
-315,1432.4,1.3,1.3,109.0,5.0,5.0,1/2,5,1,5,1,0,0,0,K(2)*(1430),Ds,\overline{K}_{2}^{*}(1430)^{0}
317,1779.0,8.0,8.0,161.0,17.0,17.0,1/2,5,-1,5,1,0,0,0,K(3)*(1780),dS,K_{3}^{*}(1780)^{0}
-317,1779.0,8.0,8.0,161.0,17.0,17.0,1/2,5,-1,5,1,0,0,0,K(3)*(1780),Ds,\overline{K}_{3}^{*}(1780)^{0}
319,2048.0,8.0,9.0,199.0,27.0,19.0,1/2,5,1,5,1,0,0,0,K(4)*(2045),dS,K_{4}^{*}(2045)^{0}
-319,2048.0,8.0,9.0,199.0,27.0,19.0,1/2,5,1,5,1,0,0,0,K(4)*(2045),Ds,\overline{K}_{4}^{*}(2045)^{0}
321,493.677,0.016,0.016,5.317e-14,9e-17,9e-17,1/2,5,-1,5,2,1,0,0,K,uS,K^{+}
-321,493.677,0.016,0.016,5.317e-14,9e-17,9e-17,1/2,5,-1,5,2,-1,0,0,K,Us,K^{-}
